name,code,region,month,industrial,total,recidencial
Alaró,7001,07001 Alaró,1989-03-01,0,0,0
Alaró,7001,07001 Alaró,1989-02-01,0,735,699
Alaró,7001,07001 Alaró,1989-01-01,0,2621,2621
Alaró,7001,07001 Alaró,1988-12-01,0,0,0
Alaró,7001,07001 Alaró,1988-11-01,0,0,0
Alaró,7001,07001 Alaró,1988-10-01,0,135,0
Alaró,7001,07001 Alaró,1988-09-01,0,895,895
Alaró,7001,07001 Alaró,1988-08-01,0,0,0
Alaró,7001,07001 Alaró,1988-07-01,0,734,734
Alaró,7001,07001 Alaró,1988-06-01,0,0,0
Alaró,7001,07001 Alaró,1988-05-01,119,202,83
Alaró,7001,07001 Alaró,1988-04-01,0,0,0
Alaró,7001,07001 Alaró,1988-03-01,0,0,0
Alaró,7001,07001 Alaró,1988-02-01,0,270,270
Alaró,7001,07001 Alaró,1988-01-01,0,594,594
Alaró,7001,07001 Alaró,1987-12-01,0,3542,3542
Alaró,7001,07001 Alaró,1987-11-01,267,847,580
Alaró,7001,07001 Alaró,1987-10-01,0,0,0
Alaró,7001,07001 Alaró,1987-09-01,0,1296,1296
Alaró,7001,07001 Alaró,1987-08-01,0,0,0
